HC11 Pin/Reg,Function (IC/OC/PA),QFP-64 Pin (needs more info) and references,ECU Connector,ECU Pin,Wire Colour i done this by hand by looking at snapon needs verifications with more cross references,Sensor/Actuator,Expected Signal,Test Method/Conditions,Status,Notes,ConfidenceLevel,ResolvableFrom,extravalidationsources,GM_Connector_Label,GM_Function_Name,Enhanced_Mod_Feature,PPK_Calibration,Verification_Sourceneeds more cross references to be more accurate another ,sources, second source, third source?
PA0/IC3,Crank 3X input (TIC3),20,C/D Pink 32-pin,B9,VIOLET,Crank position sensor REF HI,~3x pulses/rev 5V square wave,Scope while cranking - Arduino 75Hz=1500RPM,✅ CONFIRMED Topic 3641+8570,ISR at 0x180DB uses TIC3; Topic 3641: B9=REF HI (Violet); Topic 8570: 5V square wave Hz=(RPM/60)*3; S/C PCM D12=REF HI,HIGH,BOTH,"ISR 0x180DB-0x1815B; TIC3 vector 0xFFEA; PCMHacking Topic 3641 pinouts compaired.xlsx; Topic 8570 bench simulation; Topic 5204 JimStim C1=Crank+"
N/A,Injector Voltage Monitor / Wideband workaround (S/C B12),N/A,C/D Pink 32-pin,C14,RED,Injector voltage monitor (or wideband input per Topic 7083),Battery voltage OR 0-5V wideband,Monitor injector supply OR repurpose for wideband AFR,✅ Topic 3641 + 7083,Topic 3641: C14=Injector Voltage Monitor (Red); Topic 7083/The1: Use C14 for wideband logging on Flash PCM - disables injector voltage compensation table + limited to 128 range (not 256); 0081 confirmed working for AFR logging,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C14; PCMHacking Topic 3641; Topic 7083 Flash wideband workaround; The1: lose injector voltage adjustment table functionality"
PB2,MIL Lamp Output (Check Engine Light),11,C/D Pink 32-pin,C15,GREY,Malfunction Indicator Lamp driver,Ground-switched output to cluster,ALDL Output 2 test triggers MIL; probe shows C15 grounds,✅ CONFIRMED,PINOUT_COMPLETION_PLAN.md:240 confirms PB2=C15=MIL; ground-switched output to instrument cluster; DTC method confirms C15 goes low when MIL active,HIGH,BOTH,"PINOUT_COMPLETION_PLAN.md:240; SNAPON_PINOUT_COMPLETE.csv C15"
PE4/AN4,EEI Input A5 (Enhanced Mod),59,C/D Pink 32-pin,C16,PURPLE/WHITE,Enhanced Mod EEI wideband/MAP input (A5),0-5V analog 0-255 count,Wire 0-5V wideband or MAP sensor output with 10kΩ pull-down,✅ ENHANCED MOD ONLY,Enhanced Mod Implementation Guide: C16=unused stock → EEI A5 input for wideband AFR (Innovate/14point7) or external MAP; requires case drilling + wire to HC11 PE4/AN4 pin; Snap-on confirmed PURPLE/WHITE,HIGH,BOTH,"VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md lines 129,699; SNAPON_PINOUT_COMPLETE.csv C16; EEI wideband formula Innovate: (((22.39-7.35)/255)*x)+7.35"
PE5/AN5,EEI Input B10 (Enhanced Mod),60,C/D Pink 32-pin,C17,TBD (wire from ECU case),Enhanced Mod EEI secondary input (B10),0-5V analog 0-255 count,Wire secondary 0-5V sensor with 10kΩ pull-down,✅ ENHANCED MOD ONLY,Enhanced Mod Implementation Guide: C17=unused stock → EEI B10 input for secondary sensor (boost/EGT/etc); requires case drilling + wire to HC11 PE5/AN5 pin,HIGH,BOTH,"VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md lines 130,700; EEI secondary input for boost or EGT"
N/A,EVAP Canister Purge,Unknown,C/D Pink 32-pin,C18,TBD,Canister purge solenoid valve (Y123),Ground-side PWM driver,Test with evap system functional check,⚠️ HC11 pin unknown,Enhanced Mod Guide: C18=EVAP Purge (Canister purge valve); Component code Y123 from wiring diagrams; ROM tables 0x7CD6-0x7D22; PWM duty cycle control,MEDIUM,BOTH,"VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md line 701; VY_Wiring_Diagrams_Section12P_IVED.md Y123=CANISTER PURGE SOLENOID VALVE"
N/A,Fuel Pump Relay Control,Unknown,C/D Pink 32-pin,C19,TBD,Fuel pump relay (X3 E5/E10),Ground-side relay driver,Test 2-sec prime KOEO then run pump,⚠️ HC11 pin unknown,Enhanced Mod Guide: C19=Fuel Pump Relay; GM connector X3 pins E5/E10; relay energized during 2-sec prime and engine running,MEDIUM,BOTH,"VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md line 702; X3 connector E5/E10"
N/A,Tachometer Output,Unknown,C/D Pink 32-pin,C20,TBD,Instrument cluster tach input,Pulsed signal proportional to RPM,Test with engine running observe tach needle,⚠️ HC11 pin unknown,Enhanced Mod Guide: C20=Tach Output to instrument cluster; derived from ignition events,MEDIUM,BOTH,"VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md line 703"
PC2,A/C Request Input,3,A/B Pink 24-pin,A9 (not C21),GRN/BLA,HVAC module A/C request,12V when A/C demanded + blower ON,Test with A/C on and blower running,✅ CONFIRMED (see A9 row),Enhanced Mod Guide lists as C21 but actual physical pin is A9; PC2=A9 confirmed by PDF_EXTRACTION_CHECKLIST.md:337; 12V input when dash A/C switch + blower fan ON,HIGH,BOTH,"VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md line 704; PDF_EXTRACTION_CHECKLIST.md:337; actual physical pin A9"
PB3,A/C Clutch Relay Output,12,C/D Pink 32-pin,D12 (not C22),ORANGE BLACK,A/C compressor clutch relay (X1 A9 + X3 F4),Ground-side relay driver; drops @ high RPM/coolant,Test with A/C on at idle vs high load,✅ CONFIRMED (see D12 row),Enhanced Mod Guide lists as C22 but actual physical pin is D12; PB3=D12 confirmed by PINOUT_COMPLETION_PLAN.md:282; GM connectors X1 A9 and X3 F4,HIGH,BOTH,"VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md line 705; PINOUT_COMPLETION_PLAN.md:282; actual physical pin D12"
N/A,Trans Range (NSBU),Unknown,C/D Pink 32-pin,C23,TBD,NSBU (Neutral Safety Backup) switch (X3 F5),Multi-position switch inputs,Test in P/R/N/D positions,⚠️ Auto trans only,Enhanced Mod Guide: C23=Trans Range (NSBU switch); GM connector X3 F5; provides gear position to PCM for starter lockout and trans control,MEDIUM,BOTH,"VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md line 706; GM connector X3 F5; auto trans only"
N/A,IAC Idle Solenoid,Unknown,C/D Pink 32-pin,C24,TBD,IAC (Idle Air Control) valve,PWM duty cycle for idle control,Test with idle speed commanded changes,⚠️ HC11 pin unknown,Enhanced Mod Guide: C24=Idle solenoid (IAC valve); PWM controlled for idle speed regulation; XDF v2.09a idle tables,MEDIUM,BOTH,"VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md line 707; XDF v2.09a idle control tables"
N/A,Speed Sensor LO or MAF (S/C D5),N/A,C/D Pink 32-pin,D1,BROWN/WHITE,VSS Signal Low (Auto) or MAF (S/C),Differential speed or freq signal,Scope during driving,✅ Topic 3641 + Snap-on,Flash PCM D1=VSS LO maps to S/C PCM D5; Flash A7=MAF maps here; Snap-on confirmed BROWN/WHITE for Auto,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D1; PCMHacking Topic 3641"
N/A,Connector pin D1 Manual,Unknown,C/D Pink 32-pin,D1,BLUE,Manual trans signal,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed BLUE for Manual trans,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D1; XDF v1.2 KMANENBL 0x4013; auto/manual differentiation"
N/A,Speed Sensor HI (S/C C6),N/A,C/D Pink 32-pin,D2,T,VSS Signal High (Auto),Differential speed signal +,Scope during driving,✅ Topic 3641 + Snap-on,Flash PCM D2=VSS HI maps to S/C PCM C6; Snap-on confirmed T (Tan) for Auto trans,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D2; PCMHacking Topic 3641"
N/A,Connector pin D2 Manual,Unknown,C/D Pink 32-pin,D2,BROWN,Manual trans signal,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed BROWN for Manual trans,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D2; XDF v1.2 KMANENBL 0x4013; auto/manual differentiation"
N/A,LH O2 Sensor - (S/C D16),N/A,C/D Pink 32-pin,D3,BLUE BLACK,Left Bank O2 Sensor Ground,0V ground return,Continuity to sensor body,✅ Topic 3641 + Snap-on,Flash PCM D3=LH O2- maps to S/C PCM D16; Snap-on confirmed BLUE BLACK; Left bank O2 negative,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D3; PCMHacking Topic 3641"
N/A,LH O2 Sensor + (S/C D15),N/A,C/D Pink 32-pin,D4,PURPLE,Left Bank O2 Sensor +,0.1-0.9V narrowband,Monitor in closed loop (should toggle),✅ Topic 3641 + Snap-on,Flash PCM D4=LH O2+ maps to S/C PCM D15; Snap-on confirmed PURPLE (Violet); Left bank O2 positive,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D4; PCMHacking Topic 3641"
N/A,RH O2 Sensor - (S/C D14),N/A,C/D Pink 32-pin,D5,GREY BLACK,Right Bank O2 Sensor Ground,0V ground return,Continuity to sensor body,✅ Topic 3641 + Snap-on,Flash PCM D5=RH O2- maps to S/C PCM D14; Snap-on confirmed GREY BLACK; Right bank O2 negative,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D5; PCMHacking Topic 3641"
N/A,IAT Temp A/D (S/C B4),Unknown,C/D Pink 32-pin,D7,BROWN,Intake Air Temp Sensor,5V pullup thermistor (3000Ω cold / 300Ω hot),Test resistance cold vs hot,✅ Topic 3641 + Snap-on,Flash PCM D7=IAT maps to S/C PCM B4; Snap-on confirmed BROWN; IAT analog voltage input,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D7; PCMHacking Topic 3641"
N/A,Connector pin D8,Unknown,C/D Pink 32-pin,D8,NOT USED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D8; pin physically empty"
N/A,GND Serial Data ALDL (S/C F14),Unknown,C/D Pink 32-pin,D9,WHITE BLACK,ALDL Communication Ground,0V signal ground,Continuity to OBD Pin 5,✅ Topic 3641 + Snap-on,Flash PCM D9=ALDL GND maps to S/C PCM F14; Snap-on confirmed WHITE BLACK; ALDL signal ground reference,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D9; PCMHacking Topic 3641"
N/A,A/C Pressure A/D (S/C B3),Unknown,C/D Pink 32-pin,D10,GREEN BLACK,A/C Pressure Sensor,0-5V pressure analog,Test with A/C system running,✅ Topic 3641 + Snap-on,Flash PCM D10=A/C Pressure maps to S/C PCM B3; Snap-on confirmed GREEN BLACK; A/C high-side pressure sensor,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D10; PCMHacking Topic 3641"
N/A,Coolant Temp A/D (S/C B5),Unknown,C/D Pink 32-pin,D11,YELLOW,Engine Coolant Temp Sensor,5V pullup thermistor,Test resistance cold vs hot (3000Ω cold),✅ Topic 3641 + Snap-on,Flash PCM D11=CTS maps to S/C PCM B5; Snap-on confirmed YELLOW; Coolant temp analog voltage input,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D11; PCMHacking Topic 3641"
PB3,A/C Clutch Relay Output,12,C/D Pink 32-pin,D12,ORANGE BLACK,A/C compressor clutch relay control,Ground-switched driver; drops @ high RPM/coolant temp,Test with A/C ON at idle vs high load,✅ CONFIRMED,PINOUT_COMPLETION_PLAN.md:282 confirms PB3=D12=A/C clutch; wiring diagram page 42; PCM grounds to engage clutch; drops @ 110°C or >5000 RPM; Snap-on wire color ORANGE BLACK,HIGH,BOTH,"PINOUT_COMPLETION_PLAN.md:282; WIRING_DIAGRAM_RESEARCH_SUMMARY.md:158; PDF_EXTRACTION_CHECKLIST.md:333; SNAPON_PINOUT_COMPLETE.csv D12"
N/A,Trans Temp A/D (S/C B6),Unknown,C/D Pink 32-pin,D13,BLACK YELLOW,Trans Fluid Temp Sensor,5V pullup thermistor,Test resistance cold vs hot,✅ Topic 3641 + Snap-on,Flash PCM D13=Trans Temp maps to S/C PCM B6; Snap-on confirmed BLACK YELLOW; Auto trans temp analog voltage,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D13; PCMHacking Topic 3641"
N/A,Connector pin D14,Unknown,C/D Pink 32-pin,D14,NOT USED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D14; pin physically empty"
N/A,Connector pin D15,Unknown,C/D Pink 32-pin,D15,NOT USED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D15; pin physically empty"
N/A,Connector pin E1,Unknown,E/F Pink 32-pin,E1,NOTUSED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E1; pin physically empty"
N/A,Cam position sensor +,PA2/IC1 (TIC1),E/F Pink 32-pin,E2,GREEN,Cam position sensor signal,1X hall effect pulse (1 pulse/cam rev),Scope during cranking - verify 1 pulse per 2 crank revs,✅ CONFIRMED,JimStim bench harness guide + PCMHacking Topic 5204: E2=Cam+; Snap-on confirmed GREEN; PA2/IC1 identifies TDC for sequential injection/ignition; TIC1 vector 0xFFEE,HIGH,BOTH,"VY_V6_ECU_Bench_Harness_Guide.md JimStim section; PCMHacking Topic 5204; cam sensor identifies cylinder 1 TDC; SNAPON_PINOUT_COMPLETE.csv E2"
N/A,Connector pin E3,Unknown,E/F Pink 32-pin,E3,NOTUSED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E3; pin physically empty"
N/A,Injector 5 Driver (Flash E5),N/A,E/F Pink 32-pin,E4,BLUE,Fuel Injector #5 Driver,Ground-side PWM,Scope injector pulse at idle,✅ Topic 3641 + Snap-on,Flash PCM E5=INJ5 maps to S/C PCM E4; Snap-on confirmed BLUE; Cylinder 5 injector driver (Grey per Topic 3641),HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E4; PCMHacking Topic 3641"
N/A,Injector 6 Driver (Flash E6),N/A,E/F Pink 32-pin,E5,GREY,Fuel Injector #6 Driver,Ground-side PWM,Scope injector pulse at idle,✅ Topic 3641 + Snap-on,Flash PCM E6=INJ6 maps to S/C PCM F3; Snap-on confirmed GREY; Cylinder 6 injector driver (Yellow per Topic 3641),HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E5; PCMHacking Topic 3641"
N/A,PRNDL Switch A (Flash F3),N/A,E/F Pink 32-pin,E6,YELLOW,Trans Range Switch A,Digital switch input,Test in each gear position,✅ Topic 3641 + Snap-on,Flash PCM F3=PRNDL A maps to S/C PCM E6; Snap-on confirmed YELLOW; Trans range position input A,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E6; PCMHacking Topic 3641"
N/A,Ground (S/C B1),N/A,E/F Pink 32-pin,E7,BLACK RED,PCM Ground,0V chassis ground,Verify continuity to chassis,✅ Topic 3641 + Snap-on,Flash PCM E7=GND maps to S/C PCM B1; Snap-on confirmed BLACK RED; Additional PCM ground,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E7; PCMHacking Topic 3641"
N/A,Connector pin E8,Unknown,E/F Pink 32-pin,E8,NOT USED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E8; pin physically empty"
N/A,Pressure Control Sol C (Flash E9),N/A,E/F Pink 32-pin,E9,RED,Trans Pressure Sol C,PWM trans line pressure,Test trans under load,✅ Topic 3641 + Snap-on,Flash PCM E9=PCS C maps to S/C PCM E15; Snap-on confirmed RED; Trans pressure solenoid C,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E9; PCMHacking Topic 3641"
N/A,IGN Fuel Pump Relay (S/C A6),N/A,E/F Pink 32-pin,E10,G/WH,Fuel Pump Relay Control,Ground-side relay driver,Test pump prime 2-sec KOEO,✅ Topic 3641 + Snap-on,Flash PCM E10=Fuel Pump maps to S/C PCM A6; Snap-on confirmed G/WH (Green/White); Fuel pump relay driver,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E10; PCMHacking Topic 3641"
N/A,Connector pin E11,Unknown,E/F Pink 32-pin,E11,NOT USED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E11; pin physically empty"
N/A,Connector pin E12,Unknown,E/F Pink 32-pin,E12,v,Unknown,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed v (unclear abbreviation),LOW,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E12; unclear wire color abbreviation"
N/A,Pressure Control Sol D (Flash E13),N/A,E/F Pink 32-pin,E13,GREY BLUE,Trans Pressure Sol D,PWM trans line pressure,Test trans under load,✅ Topic 3641 + Snap-on,Flash PCM E13=PCS D maps to S/C PCM E14; Snap-on confirmed GREY BLUE; Trans pressure solenoid D,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E13; PCMHacking Topic 3641"
N/A,Connector pin E14,Unknown,E/F Pink 32-pin,E14,NOT USED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E14; pin physically empty"
N/A,Connector pin E15,Unknown,E/F Pink 32-pin,E15,NOT USED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E15; pin physically empty"
N/A,Connector pin E16,Unknown,E/F Pink 32-pin,E16,BLACK BLUE,Unknown,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed BLACK BLUE,LOW,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv E16"
N/A,Injector 3 Driver (Flash F1),N/A,E/F Pink 32-pin,F1,PUR,Fuel Injector #3 Driver,Ground-side PWM,Scope injector pulse at idle,✅ Topic 3641 + Snap-on,Flash PCM F1=INJ3 maps to S/C PCM E2; Snap-on confirmed PUR (Purple=Violet); Cylinder 3 injector driver,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F1; PCMHacking Topic 3641"
N/A,Injector 4 Driver (Flash F2),N/A,E/F Pink 32-pin,F2,BRN/Y,Fuel Injector #4 Driver,Ground-side PWM,Scope injector pulse at idle,✅ Topic 3641 + Snap-on,Flash PCM F2=INJ4 maps to S/C PCM F1; Snap-on confirmed BRN/Y (Brown/Yellow); Cylinder 4 injector driver,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F2; PCMHacking Topic 3641"
N/A,PRNDL Switch B (S/C E8),N/A,E/F Pink 32-pin,F3,BLUE WHITE,Trans Range Switch B,Digital switch input,Test in each gear position,✅ Topic 3641 + Snap-on,Flash PCM F9=PRNDL B maps to S/C PCM E8; Snap-on confirmed BLUE WHITE; Trans range position input,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F3; PCMHacking Topic 3641"
N/A,Quad Driver Ch1 +12V supply,Unknown,E/F Pink 32-pin,F4,BLU/ORANGE (was GREEN/BLACK in H022),A/C compressor relay coil supply,Battery voltage (12V IGN),Test with multimeter IGN ON,✅ CONFIRMED,Snap-on manual H022 page 45: Quad Driver circuit - PCM pin F4 (green/black in text but BLU/ORANGE per H013 wire chart) receives battery voltage from A/C comp relay when IGN ON; quad driver channel 1 power supply,HIGH,WIRING/SCOPE,"Snap-on Holden Engine Troubleshooter Manual H022 page 45; Quad Driver Ch1 supply from A/C compressor relay; battery voltage check procedure"
N/A,Quad Driver Ch2 +12V supply,Unknown,E/F Pink 32-pin,F5,NOT USED (was BLUE in H022),Start relay supply (if used),Battery voltage (12V IGN),Test with multimeter IGN ON,⚠️ PIN UNUSED,Snap-on manual H022 page 45: Quad Driver Ch2 - PCM pin F5 (blue in text) should have battery voltage from start relay when IGN ON; BUT Snap-on H013 shows F5 as NOT USED - possible VT/VX/VY difference or error,MEDIUM,WIRING/SCOPE,"Snap-on H022 page 45 vs H013 wire chart conflict; F5 may be unused in VY V6; check if start relay connection exists"
N/A,Quad Driver Ch3 +12V supply,Unknown,E/F Pink 32-pin,F6,W (was BLUE/WHITE in H022),Fan relay supply (high/low speed),Battery voltage (12V IGN),Test with multimeter IGN ON,✅ CONFIRMED,Snap-on manual H022 page 45: Quad Driver Ch3 - PCM pin F6 (blue/white in text but W=White per H013 wire chart) receives battery voltage from fan relay when IGN ON; quad driver channel 3 power supply for cooling fans,HIGH,WIRING/SCOPE,"Snap-on Holden Engine Troubleshooter Manual H022 page 45; Quad Driver Ch3 supply from fan relay; may feed PA4/OC4 and PA6/OC2 fan outputs"
N/A,Quad Driver Ch4 output,Unknown,E/F Pink 32-pin,F7,BLA/R (was BLACK/WHITE in H022),ABS/Trac Control ECU ground-side driver,Ground when activated,Test with scope during ABS/TC operation,✅ CONFIRMED,Snap-on manual H022 page 45: Quad Driver Ch4 - PCM pin F7 (black/white in text but BLA/R=Black/Red per H013 wire chart) connects to ABS/Trac Control ECU; ground-side output driver; check for open/short in wiring,HIGH,BOTH,"Snap-on Holden Engine Troubleshooter Manual H022 page 45; Quad Driver Ch4 output to ABS/TC module; cross-reference with B8 ABS/TC torque request input"
N/A,PRNDL Switch D (S/C E7),N/A,E/F Pink 32-pin,F8,YELLOW,Trans Range Switch D,Digital switch input,Test in each gear position,✅ Topic 3641 + Snap-on,Flash PCM F8=PRNDL D maps to S/C PCM E7; Snap-on confirmed YELLOW; Trans range position input D,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F8; PCMHacking Topic 3641"
N/A,PRNDL Switch C (S/C F15),N/A,E/F Pink 32-pin,F9,GRY,Trans Range Switch C,Digital switch input,Test in each gear position,✅ Topic 3641 + Snap-on,Flash PCM F6=PRNDL C maps to S/C PCM F15; Snap-on confirmed GRY (Grey); Trans range position input C,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F9; PCMHacking Topic 3641"
N/A,Connector pin F10,Unknown,E/F Pink 32-pin,F10,NOT USED,Unknown,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed NOT USED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F10; pin physically empty"
N/A,Pressure Switch A (Flash F11),N/A,E/F Pink 32-pin,F11,BROWN YELLOW,Trans Pressure Switch A,Digital switch input,Test trans pressure,✅ Topic 3641 + Snap-on,Flash PCM F11=PSW A maps to S/C PCM F9; Snap-on confirmed BROWN YELLOW; Trans pressure switch A,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F11; PCMHacking Topic 3641"
N/A,Pressure Switch B (Flash F12),N/A,E/F Pink 32-pin,F12,YELLOW,Trans Pressure Switch B,Digital switch input,Test trans pressure,✅ Topic 3641 + Snap-on,Flash PCM F12=PSW B maps to S/C PCM F10; Snap-on confirmed YELLOW; Trans pressure switch B,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F12; PCMHacking Topic 3641"
N/A,Pressure Switch C (Flash F13),N/A,E/F Pink 32-pin,F13,GREY,Trans Pressure Switch C,Digital switch input,Test trans pressure,✅ Topic 3641 + Snap-on,Flash PCM F13=PSW C maps to S/C PCM F11; Snap-on confirmed GREY; Trans pressure switch C,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F13; PCMHacking Topic 3641"
N/A,ALDL Enable (F14 to ALDL Pin 6),PD4,E/F Pink 32-pin,F14,BLUE,ALDL enable signal,Active low enable for ALDL comms,Connect to ALDL Pin 6 for bench programming,✅ CONFIRMED,PCMHacking Topic 847: F14 connects to ALDL Pin 6 for enable; Snap-on confirmed BLUE; required for ALDL communication on VT/VX/VY; goes with A3 serial data,HIGH,BOTH,"PCMHacking_Archive_Tools_Reference.md Bench Test Harness section; F14=WHITE/BLACK per Topic 847 but BLUE per Snap-on (possible VT/VX/VY difference); ALDL Pin 6 enable"
N/A,Oil Pressure Switch (S/C E12),N/A,E/F Pink 32-pin,F15,BLU/R,Oil Pressure Warning Switch,Ground = low pressure,Test engine off vs running,✅ Topic 3641 + Snap-on,Flash PCM F15=Oil Pressure maps to S/C PCM E12; Snap-on confirmed BLU/R (Blue/Red); Oil pressure lamp input,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F15; PCMHacking Topic 3641"
N/A,Connector pin F16,Unknown,E/F Pink 32-pin,F16,ORANGE,Unknown,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed ORANGE,LOW,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv F16"
N/A,Connector pin A1,Unknown,A/B Pink 24-pin,A1,GRN/WHITE,Unknown,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed GRN/WHITE (Green/White),LOW,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv A1"
N/A,Connector pin A2,Unknown,A/B Pink 24-pin,A2,Y/BLA,Unknown,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed Y/BLA (Yellow/Black),HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv A2"
N/A,ALDL Serial Data (A3 to ALDL Pin 9),PD0/PD1,A/B Pink 24-pin,A3,WH/GRN,ALDL serial data line,8192 baud UART (bidirectional),Connect to ALDL Pin 9 for bench programming,✅ CONFIRMED,PCMHacking Topic 847: A3 = RED/BLACK per Topic 847 (connects to ALDL Pin 9); Snap-on confirmed WH/GRN; 8192 baud ALDL protocol; same as DLC Pin 3 in vehicle,HIGH,BOTH,"PCMHacking_Archive_Tools_Reference.md Bench Test Harness section; VY_V6_ECU_Bench_Harness_Guide.md; A3 serial data + F14 enable for ALDL comms"
N/A,Ignition Switched +12V (BENCH ONLY - A4),N/A,A/B Pink 24-pin,A4,UNUSED,Ignition switched power for bench testing,12V when ignition ON (bench only),TEST: Connect +12V for ALDL comms on bench,⚠️ BENCH HARNESS vs PRODUCTION CONFLICT,PCMHacking Topic 847: A4 MUST have +12V (ignition switched) for ALDL communication on bench - BUT Snap-on shows A4 as UNUSED in VY production; VT bench harness table uses A4=Pink for ignition; VY may route ignition power via D16 instead,HIGH,WIRING/SCOPE,"PCMHacking_Archive_Tools_Reference.md Topic 847; A4=Pink in VT bench harness; Snap-on shows A4=UNUSED in VY; D16=ORANGE confirmed as IGN+12V in production VY"
N/A,Enhanced Input A5 (EEI),PE4/AN4,A/B Pink 24-pin,A5,BLA/R,Enhanced Mod 0-5V auxiliary input,0-255 count range (wideband O2/MAP/fuel pressure),Use with Enhanced Mod bin for wideband AFR input,✅ CONFIRMED (Enhanced Mod only),PCMHacking Enhanced Mod Thread: Pin A5 enabled as 0-5V input (0-255 count range) for wideband O2/MAP/fuel pressure sensors; requires Enhanced Mod bin v1.0a+; Innovate AFR formula: (((22.39-7.35)/255)*x)+7.35; 14point7 formula: ((20-10)/255*x)+10,HIGH,BOTH,"PCMHacking_Enhanced_Mod_Thread.md EEI section; A5=Extra ECU Input; works with WBAFRT feature; Snap-on confirmed BLA/R (Black/Red)"
